customer_id,account_creation_date,subscription_tier,monthly_recurring_revenue_usd,company_size,industry,active_users,crm_contacts_count,email_marketing_usage_pct,marketing_automation_usage_pct,sales_pipeline_usage_pct,reporting_analytics_usage_pct,integration_count,support_tickets_90days,onboarding_completed,csm_assigned,days_since_last_login,nps_score,contract_length_months,customer_churned
HS005737,2022-01-01,Enterprise,11548.89,1000+,Professional Services,87,89606,87.9,72.6,66.3,50.2,9,3,No,Yes,1,7,24,No
HS004638,2022-01-01,Enterprise,4818.91,201-500,Technology,17,3170,64.7,72.6,84.9,82.4,10,4,Yes,Yes,2,10,24,No
HS007244,2022-01-01,Starter,100.64,11-50,Financial Services,6,1296,26.3,30.0,25.7,28.8,0,12,No,No,8,0,12,Yes
HS008381,2022-01-01,Professional,1722.78,201-500,Financial Services,25,1300,70.5,40.2,82.9,47.9,5,3,No,Yes,4,8,12,No
HS008297,2022-01-01,Starter,171.92,11-50,Healthcare,11,5060,32.7,11.4,35.2,33.5,0,6,No,No,10,5,1,Yes
HS002328,2022-01-01,Professional,1220.55,11-50,Healthcare,4,592,42.8,53.7,42.9,44.2,6,1,Yes,Yes,2,5,12,No
HS008542,2022-01-01,Professional,2987.15,51-200,Technology,8,2976,43.3,22.1,68.9,49.7,3,4,Yes,No,9,5,12,No
HS000741,2022-01-01,Starter,56.59,1-10,Education,2,946,55.7,22.3,36.5,25.3,1,4,Yes,No,10,5,12,No
HS002477,2022-01-01,Starter,152.44,11-50,E-commerce,11,4235,19.2,19.6,27.8,16.2,3,6,Yes,No,14,3,1,No
HS004895,2022-01-01,Starter,109.54,11-50,Technology,4,672,20.9,5.0,39.1,22.9,1,11,No,No,27,2,1,No
HS002688,2022-01-01,Starter,126.73,11-50,Manufacturing,10,2330,35.7,0.3,38.4,8.6,2,3,Yes,No,25,1,1,Yes
HS000558,2022-01-01,Starter,138.6,1-10,Professional Services,2,302,44.1,13.5,51.9,5.6,3,7,No,No,29,1,1,Yes
HS004761,2022-01-01,Professional,1597.17,51-200,Manufacturing,18,7722,75.7,42.5,62.3,40.6,4,1,Yes,No,6,8,12,No
HS000188,2022-01-02,Starter,161.42,1-10,Professional Services,2,646,44.4,16.4,61.9,19.8,0,7,Yes,No,19,5,1,No
HS001622,2022-01-02,Professional,2304.15,11-50,Healthcare,10,4480,46.9,18.4,83.5,21.7,2,4,Yes,Yes,5,6,12,No
HS001457,2022-01-02,Starter,139.7,1-10,Professional Services,4,428,34.2,8.9,30.2,17.0,2,10,Yes,No,10,2,12,Yes
HS001362,2022-01-02,Starter,134.41,11-50,Real Estate,5,1410,17.0,0.5,62.4,13.2,1,6,Yes,No,9,6,12,Yes
HS000145,2022-01-02,Professional,1325.76,51-200,Technology,9,1053,53.2,27.8,55.7,51.5,3,2,No,No,4,6,12,No
HS005078,2022-01-02,Starter,175.67,1-10,E-commerce,2,968,57.2,4.4,23.4,15.1,1,13,Yes,No,10,1,12,Yes
HS001136,2022-01-03,Professional,1390.58,51-200,Marketing & Advertising,24,2808,52.7,35.3,66.4,56.2,2,1,Yes,Yes,2,9,12,No
HS003499,2022-01-03,Enterprise,6084.08,1000+,Marketing & Advertising,45,15849,52.7,47.7,61.0,64.7,12,2,Yes,Yes,2,9,12,No
HS004906,2022-01-03,Starter,195.76,11-50,Professional Services,5,950,53.4,20.0,32.7,7.9,3,11,No,No,6,1,1,No
HS009429,2022-01-03,Enterprise,8451.93,201-500,Professional Services,33,13771,88.6,69.3,81.7,57.6,14,4,Yes,Yes,2,10,24,No
HS001176,2022-01-03,Professional,2509.06,51-200,Technology,10,3430,61.1,20.1,80.8,28.3,3,6,Yes,Yes,3,7,1,No
HS009754,2022-01-03,Starter,125.97,1-10,Marketing & Advertising,1,362,19.2,19.0,35.4,28.6,2,5,No,No,12,4,1,Yes
HS007314,2022-01-03,Professional,1868.65,11-50,Technology,9,783,72.4,27.5,75.7,23.3,6,5,Yes,No,2,7,12,No
HS002924,2022-01-03,Starter,146.13,1-10,Technology,1,128,55.5,13.1,64.6,24.4,2,1,Yes,No,28,7,12,No
HS004308,2022-01-04,Professional,3058.4,51-200,Professional Services,16,6032,71.0,18.8,44.2,21.3,2,7,Yes,Yes,11,5,24,No
HS005512,2022-01-04,Professional,3190.78,51-200,Professional Services,17,4046,69.2,26.7,78.1,28.4,2,3,No,No,4,7,1,No
HS000988,2022-01-04,Starter,90.74,11-50,Professional Services,7,665,20.4,24.3,29.3,30.8,3,3,Yes,No,20,2,1,Yes
